Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,6037,"Los Angeles, CA",1,,659050,-0.0237,0,15920,-0.0832,0.3291,57.5,0.0455,0.1275,7014,0.5221,0.0953,286,0.375,0.007,3260,0.1319,0.8976,3905.5,-0.174,0.7684,1448135,0.0085,-0.0387,19825.5,-0.1026,0.3975,0.2453,-0.027,0.0609
1/1/2019 0:00,17031,"Cook, IL",2,,271550,0.0056,0.0347,19449.5,-0.0919,0.048,72.5,0.0985,-0.0136,7084,0.5562,0.043,124,0.0333,-0.0882,2830,0.0007,0.0412,1985.5,-0.0422,-0.1405,425565,0.0136,-0.0187,21435,-0.0875,0.0272,0.1021,0.0053,-0.0224
1/1/2019 0:00,48201,"Harris, TX",3,,300380,0.0011,-0.0342,14963,-0.0389,0.2067,73.5,0.097,0.0352,5402,0.2322,0.132,602,0.075,0.1358,3632,0.2237,0.3562,4472,-0.1332,-0.0569,458241,0.0002,-0.011,19435,-0.0624,0.1338,0.2989,-0.0325,-0.0835
1/1/2019 0:00,4013,"Maricopa, AZ",4,*,350045,0.0145,0.0146,18449.5,0.0247,0.0382,59,0.1132,-0.0248,7998,0.4691,0.0142,606,0.2839,-0.0762,7990,0.2879,0.2407,3665.5,-0.073,1220.8333,586260,0.0288,0.0141,22115,0.0072,0.2443,0.1987,-0.0209,0.1985
1/1/2019 0:00,6073,"San Diego, CA",5,,650050,0.0002,-0.0095,6689.5,-0.0759,0.4585,49.5,-0.0481,0.1124,3960,0.7491,0.1668,132,0.2692,0,1816,0.1854,0.66,110,0.0891,6.8571,1072818,-0.0048,-0.092,6799.5,-0.0736,0.478,0.0164,0.0025,0.0134
1/1/2019 0:00,6059,"Orange, CA",6,,797500,0.0159,-0.0369,7212,-0.0537,0.4362,64.5,0.0932,0.3299,2728,0.6965,0.1009,152,0.52,0.2258,1672,0.4074,0.9,899.5,-0.1103,42.878,1405642,0.0079,-0.0731,8111.5,-0.0603,0.6088,0.1247,-0.0079,0.1206
1/1/2019 0:00,36047,"Kings, NY",7,*,849050,-0.0341,-0.0283,3133,-0.0796,0.4719,94,0.093,0.0108,970,1.5,0.5252,38,0.5833,0.1176,394,0.4701,0.9505,1433,-0.0238,0.0926,1280548,-0.0307,-0.0202,4566,-0.0628,0.3273,0.4574,0.0261,-0.1588
1/1/2019 0:00,12086,"Miami-Dade, FL",8,,449050,0,-0.0021,23793,-0.0002,0.1327,113.5,0.0413,0.0271,5026,0.2379,0.0266,250,-0.1776,-0.359,4000,0.1494,0.1799,3205,-0.084,-0.2975,1011885,0.0011,-0.0067,26998,-0.0109,0.0559,0.1347,-0.0123,-0.0825
1/1/2019 0:00,48113,"Dallas, TX",9,*,326175,-0.038,-0.0795,5682.5,-0.0474,0.4005,60,0.0169,0.0526,2678,0.4714,0.2107,124,0.55,0.0508,1694,0.2383,0.7215,1351.5,-0.2334,-0.1556,570658,-0.0292,-0.1079,7034,-0.0898,0.2432,0.2378,-0.0577,-0.1566
1/1/2019 0:00,53033,"King, WA",10,*,689250,0.031,-0.0065,3211.5,-0.2005,1.3545,68,0.1148,0.6386,1814,1.0614,0.151,30,1.5,-0.4231,900,-0.0088,3.6392,1234,-0.1135,-0.1657,1054672,0.0642,-0.1301,4445.5,-0.1781,0.5637,0.3842,0.0377,-0.7001
1/1/2019 0:00,36081,"Queens, NY",11,,585050,-0.0068,0.0833,3945,-0.0607,0.2794,82,0.0789,0.0186,1100,0.2115,0.2061,54,0.125,0.2857,490,-0.0278,0.8284,448,0,0.1576,709249,-0.0105,0.034,4393,-0.0549,0.2658,0.1136,0.0069,-0.0119
1/1/2019 0:00,36061,"New York, NY",12,,1662550,-0.0161,-0.2398,6902.5,-0.0601,0.396,115,0.2366,-0.0043,1364,1.2434,0.2135,52,1.1667,0.04,1118,0.6063,0.8633,2532,-0.0197,0.0443,3469840,0.0078,-0.2092,9434.5,-0.0496,0.2803,0.3668,0.0151,-0.1235
1/1/2019 0:00,32003,"Clark, NV",13,,316181.25,-0.0121,0.072,8944,0.0161,0.0716,60.5,0.1,0.0254,4028,0.5374,0.2683,178,0.0349,-0.4472,3382,0.6481,2.0579,830.5,-0.1304,414.25,479689,-0.0129,0.0658,9774.5,0.0018,0.1708,0.0929,-0.0156,0.0926
1/1/2019 0:00,12011,"Broward, FL",14,,315050,-0.0124,0.008,15270,0.0059,0.198,81.5,0.0724,0.0316,4716,0.4291,0.1123,216,-0.0526,-0.136,3640,0.1974,0.2389,2555,-0.0662,-0.3038,565971,-0.0134,-0.022,17825,-0.0051,0.0858,0.1673,-0.0129,-0.1206
1/1/2019 0:00,6065,"Riverside, CA",15,,419500,0.0058,0.0109,10451.5,-0.0253,0.1379,65,0.1017,0.1111,3480,0.4192,-0.0114,172,0.075,-0.1313,2468,0.3991,0.3803,1569,-0.0867,2.7853,600899,0.0021,-0.0452,12020.5,-0.0338,0.2523,0.1501,-0.0101,0.105
1/1/2019 0:00,48439,"Tarrant, TX",16,,285050,0,-0.0118,4729.5,-0.0777,0.2553,61.5,0.0603,0.0982,2250,0.3554,0.1805,94,-0.1296,-0.1897,1446,0.1368,0.4665,1570.5,-0.1441,-0.0745,385335,-0.0076,-0.0348,6300,-0.0952,0.1529,0.3321,-0.0258,-0.1184
1/1/2019 0:00,26163,"Wayne, MI",17,,119500,-0.0046,0.3887,4837.5,-0.062,0.1949,66.5,0.1466,0.0726,1816,0.094,0.135,76,-0.05,-0.2245,994,-0.0996,0.2302,170,-0.0449,6.3913,204607,-0.0036,0.1558,5007.5,-0.0614,0.2299,0.0351,0.0006,0.0295
1/1/2019 0:00,48029,"Bexar, TX",18,,259149.75,0.0004,0.0162,6403,-0.0429,0.1047,68,0.0462,-0.0286,2438,0.2313,0.1998,462,0.9914,-0.1217,1944,0.0946,0.2977,1817,-0.0668,0.1103,337566,-0.0032,0.0058,8220,-0.0483,0.106,0.2838,-0.0073,0.0014
1/1/2019 0:00,6085,"Santa Clara, CA",19,*,1072994,-0.0056,-0.1158,1224,-0.1263,1.4529,52.5,0.0294,1.3333,1082,1.3938,0.2611,24,0,0,262,-0.0643,5.55,652,-0.2867,-0.0468,1598604,0.0268,-0.183,1876,-0.1896,0.5858,0.5327,-0.1197,-0.8381
1/1/2019 0:00,6071,"San Bernardino, CA",20,,346300,0.0051,0.0564,8160,-0.0898,0.2123,69.5,0.0859,0.1583,2574,0.2618,-0.0674,146,0.1406,-0.1512,1666,-0.0269,0.3523,1861.5,-0.1281,1.8816,453367,-0.0021,0.0179,10021.5,-0.0972,0.3585,0.2281,-0.01,0.1322
1/1/2019 0:00,42101,"Philadelphia, PA",21,,219375,-0.0031,0.0971,4452.5,-0.0238,0.1584,73.5,0.097,-0.0696,1672,0.259,0.2783,88,0.1579,0.2222,982,0.0628,0.1917,1,0,,315551,-0.0092,-0.0126,4453.5,-0.0238,0.1587,0.0002,0,0.0002
1/1/2019 0:00,25017,"Middlesex, MA",22,,594050,0.0069,-0.014,2347,-0.1487,0.4826,67,0.1356,-0.0074,1096,0.7342,0.2124,38,0.9,0.4615,542,0.0423,1.3565,0,,,814170,0.0262,-0.1412,2347,-0.1487,0.4826,0,0,0
1/1/2019 0:00,6001,"Alameda, CA",23,*,787050,0.0103,0.0507,1261.5,-0.1733,0.8376,43.75,-0.0489,0.6204,1108,1.0519,0.1991,26,-0.0714,-0.1333,220,-0.3038,2.0556,833,-0.2215,-0.0308,950099,0.0102,-0.0408,2094.5,-0.1932,0.3548,0.6603,-0.0409,-0.5917
1/1/2019 0:00,12099,"Palm Beach, FL",24,,369950,0.0052,0.0024,17011.5,0.0344,0.0378,81.5,0.0724,0.0382,4752,0.4043,-0.0008,230,0.3068,-0.0496,4252,0.3698,0.2018,1965,-0.0484,-0.2113,1003630,0.0173,0.0249,18976.5,0.0251,0.005,0.1155,-0.0101,-0.0365
1/1/2019 0:00,42003,"Allegheny, PA",25,,185050,-0.0152,0.0335,4595,-0.059,-0.0258,94,0.175,-0.0693,1130,0.3079,0.0701,34,1.125,0,650,0.0093,0.0797,524.5,-0.1287,0.2356,285548,0.0072,0.0613,5119.5,-0.0666,-0.0042,0.1141,-0.0091,0.0241
1/1/2019 0:00,39035,"Cuyahoga, OH",26,,149950,0,0.0734,4194.5,-0.0671,0.0256,81,0.125,-0.1,1128,0.1417,0.0464,32,0.6,-0.0588,796,-0.0913,0.1637,750.5,-0.21,-0.0881,249995,0.0062,0.0626,4945,-0.092,0.0065,0.1789,-0.0324,-0.0223
1/1/2019 0:00,6067,"Sacramento, CA",27,*,385050,0,0.0434,2419.5,-0.1543,0.3258,55.5,0.0882,0.3214,1326,0.3207,-0.0649,6,0.5,-0.4,26,-0.0714,0.3,1434.5,-0.1079,-0.1842,464010,0.0032,0.0414,3854,-0.1376,0.0755,0.5929,0.0308,-0.3707
1/1/2019 0:00,12057,"Hillsborough, FL",28,,275050,0,0.0046,6303,-0.0077,0.2842,73,0.1406,0.1231,2410,0.2658,0.1096,330,0.65,0,2300,0.1143,0.425,3123.5,-0.0037,0.0601,385182,0.0136,-0.0164,9426.5,-0.0064,0.2001,0.4956,0.002,-0.1048
1/1/2019 0:00,39049,"Franklin, OH",29,,216550,0.0046,0.083,3093,-0.1265,0.1231,64,0.2075,0.0667,1072,0.2237,0.1478,44,0.1,-0.3889,596,-0.2767,0.2627,0,-1,-1,296867,0.0073,-0.0104,3093,-0.1268,0.1198,0,-0.0003,-0.0029
1/1/2019 0:00,36005,"Bronx, NY",30,,402549.5,-0.0301,0.15,1032.5,-0.0839,0.1174,95,0.0215,-0.064,258,0.4022,0.1944,16,0.3333,0,104,-0.2353,0.3684,200.5,-0.154,-0.1009,520137,-0.0177,-0.0221,1233,-0.096,0.075,0.1942,-0.0161,-0.0472
1/1/2019 0:00,27053,"Hennepin, MN",31,,417550,0.058,-0.0247,2422.5,-0.1766,0.1395,67,0.0806,0.0075,1140,0.4921,0.1047,34,0.4167,-0.2917,556,0.2411,0.8533,1274,-0.0932,-0.0751,589063,0.0143,-0.0581,3696.5,-0.1496,0.0551,0.5259,0.0483,-0.122
1/1/2019 0:00,26125,"Oakland, MI",32,,336550,0.0151,-0.0572,4018.5,-0.101,0.2416,66,0.1,-0.0769,1722,0.4398,0.2662,78,0.95,-0.2909,812,-0.0897,0.3225,111,-0.1048,19.1818,475194,0.0007,-0.0655,4129.5,-0.1011,0.2738,0.0276,-0.0001,0.0259
1/1/2019 0:00,36103,"Suffolk, NY",33,,582150,-0.0117,0.0594,8492.5,-0.0617,0.0882,109.5,0.0842,-0.0437,2204,0.5478,0.2327,92,0.5333,-0.08,1076,0.1747,0.2659,487.5,-0.2299,0.5751,1499188,-0.0001,-0.0397,8980,-0.0727,0.1067,0.0574,-0.0125,0.0177
1/1/2019 0:00,12095,"Orange, FL",34,,325050,0.0002,-0.0046,4791,-0.0242,0.2014,74.5,0.0797,0.0171,1914,0.4284,0.1558,126,0.0862,-0.4919,1640,0.2853,0.4828,2210,-0.0239,-0.0788,508258,0.0125,-0.0239,7001,-0.0241,0.0961,0.4613,0.0002,-0.1403
1/1/2019 0:00,48453,"Travis, TX",35,,399500,-0.0011,-0.0362,3178,-0.1096,0.053,72.5,0.0662,-0.0705,1338,0.3765,0.1378,198,0.2073,-0.175,840,0.0194,0.117,1047.5,-0.1085,-0.0076,669381,0.0045,-0.0892,4225.5,-0.1093,0.0373,0.3296,0.0004,-0.0201
1/1/2019 0:00,36059,"Nassau, NY",36,,622049.5,-0.0127,0.0578,4836.5,-0.0924,0.1437,87.5,0.0542,0.0294,1562,0.4517,0.2299,52,-0.1875,0.7333,748,-0.0311,0.5203,244.5,-0.3227,-0.0614,1004388,-0.0187,0.0253,5081,-0.107,0.1318,0.0506,-0.0172,-0.011
1/1/2019 0:00,12103,"Pinellas, FL",37,,289500,-0.0145,-0.0349,5870.5,0.031,0.1943,69,0.1129,-0.0072,2264,0.3771,0.1446,94,-0.2419,-0.2295,2270,0.4477,0.3275,2064,-0.026,-0.1151,453664,-0.0028,-0.066,7934.5,0.0156,0.0947,0.3516,-0.0206,-0.1229
1/1/2019 0:00,13121,"Fulton, GA",38,,385000,-0.0376,-0.0984,8741,-0.0384,0.2851,65,0.1017,-0.0845,3696,0.5661,0.3162,360,2,0.0465,2146,0.2221,0.7706,3183.5,-0.0256,0.7463,593689,-0.0227,-0.0509,11924.5,-0.035,0.3826,0.3642,0.0048,0.0962
1/1/2019 0:00,51059,"Fairfax, VA",39,,649994,0.057,0.0836,1935.5,-0.2148,-0.1776,73,0.1406,0.1061,808,0.3377,-0.1968,54,0.2273,-0.0357,236,-0.3789,-0.3257,2,1,1,924587,0.1178,0.0868,1937.5,-0.2143,-0.1771,0.001,0.0006,0.0006
1/1/2019 0:00,37119,"Mecklenburg, NC",40,*,349950,-0.0003,-0.0791,2986.5,-0.0771,0.2945,73,0.1231,-0.0034,1290,0.5809,0.2874,108,0.1739,0.08,1028,0.0936,0.8035,1386,-0.0481,-0.0533,498462,0.007,-0.0526,4372.5,-0.0681,0.1595,0.4641,0.0142,-0.1705
1/1/2019 0:00,29189,"St. Louis, MO",41,,217500,0.0114,0.0988,3045.5,-0.1498,-0.0333,74,0.1045,0.0725,938,0.3324,-0.037,34,1.125,-0.2609,708,-0.038,-0.0328,770.5,-0.0661,-0.0302,359067,0.0084,0.0439,3816,-0.1341,-0.0327,0.253,0.0227,0.0008
1/1/2019 0:00,6013,"Contra Costa, CA",42,*,610050,-0.0294,-0.0133,1413,-0.1113,0.521,51,-0.0377,0.4366,1080,0.9853,0.1368,38,0.5833,-0.3214,322,0.0733,1.6833,855,-0.1987,-0.1659,886392,-0.0217,-0.0813,2268,-0.1464,0.1607,0.6051,-0.066,-0.4982
1/1/2019 0:00,4019,"Pima, AZ",43,,281308,0.0049,0.0594,3494,-0.0124,-0.0914,63.5,0.0763,-0.0305,1670,0.5127,-0.0544,80,0.6667,-0.5062,1048,0.6478,0.0672,1690,-0.037,-0.0111,397916,0.0133,0.0455,5184,-0.0206,-0.0667,0.4837,-0.0124,0.0393
1/1/2019 0:00,37183,"Wake, NC",44,,369950,-0.007,0.0134,4580.5,-0.0501,0.1043,81.5,0.0867,0.0252,1562,0.5683,0.1302,184,0.84,-0.3134,1124,0.3707,0.5876,5,-0.1667,0.6667,445073,-0.007,0.0288,4585.5,-0.0502,0.1047,0.0011,-0.0002,0.0004
1/1/2019 0:00,36029,"Erie, NY",45,,192475,-0.0182,0.1002,1393,-0.099,0.0581,72.5,0.0662,-0.0268,530,0.0192,0.1134,24,5,1.4,362,0.1753,0.3712,12.5,-0.0385,1.2727,263608,-0.004,0.0822,1405.5,-0.0985,0.0632,0.009,0.0006,0.0048
1/1/2019 0:00,55079,"Milwaukee, WI",46,,154950,-0.0006,0.0697,1793,-0.1202,-0.1317,60.75,0.0474,-0.1735,710,0.5708,0.0411,8,1,-0.2,330,-0.0833,-0.127,1,0,,205290,0.0036,0.0246,1794,-0.1202,-0.1312,0.0006,0.0001,0.0006
1/1/2019 0:00,24031,"Montgomery, MD",47,,479755.75,0.0057,-0.0387,2065,-0.1403,0.0297,72,0.1077,-0.027,792,0.4453,0.0339,38,0.9,-0.2692,382,-0.1157,0.2484,0,,,713946,0.0398,-0.0651,2065,-0.1403,0.0297,0,0,0
1/1/2019 0:00,18097,"Marion, IN",48,,184750,-0.0016,0.1547,2209.5,-0.104,-0.0063,74,0.1212,0.0278,776,-0.0202,0.0601,40,0.25,-0.1304,652,0.0867,0.3932,720,-0.0041,-0.18,260868,0.0189,0.1129,2929.5,-0.0814,-0.0555,0.3259,0.0327,-0.069
1/1/2019 0:00,6075,"San Francisco, CA",49,*,1280744,-0.0141,0.0035,540,-0.2012,0.2414,46,-0.2069,0.5593,548,6.6111,0.1965,14,-0.5625,2.5,22,-0.6944,0.2222,148.5,-0.4332,-0.3585,1847332,-0.0345,-0.0561,688.5,-0.266,0.033,0.275,-0.1126,-0.2572
1/1/2019 0:00,49035,"Salt Lake, UT",50,*,400025,0.0103,0.0528,2555,-0.1076,0.2228,56.5,0.1078,0.0762,1158,0.3465,0.0802,178,1.4722,-0.2937,694,0.0981,0.5917,1684,-0.1081,-0.1807,550187,0.01,0.0309,4239,-0.1078,0.0227,0.6591,-0.0003,-0.3246
1/1/2019 0:00,12031,"Duval, FL",51,,230049.75,-0.0209,-0.0376,4083.5,-0.0205,0.2807,73,0.0896,0.0069,1474,0.2707,0.2202,178,0.3088,0.8542,1392,0.1447,0.4777,1508,-0.1008,-0.0498,320923,0.0008,-0.0352,5591.5,-0.0435,0.1709,0.3693,-0.033,-0.1284
