Month,CBSACode,CBSATitle,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,,515050,-0.0189,0.0865,68251,-0.0743,0.1388,91,0.0833,-0.0215,20070,0.5607,0.17,584,0.2167,0.0318,10194,0.1574,0.2823,5543.5,-0.0658,0.0737,1061746,-0.001,-0.0231,73794.5,-0.0737,0.1336,0.0812,0.0007,-0.0049
1/1/2019 0:00,31080,"Los Angeles-Long Beach-Anaheim, CA",2,,699950,-0.0142,-0.0086,23080,-0.0761,0.3582,59.5,0.0625,0.19,9752,0.5699,0.0896,422,0.3025,0.0293,4928,0.2114,0.8443,4805,-0.1617,1.1552,1435190,0.0082,-0.0494,27885,-0.092,0.4506,0.2082,-0.0213,0.077
1/1/2019 0:00,16980,"Chicago-Naperville-Elgin, IL-IN-WI",3,,279950,0.0032,0.0313,39244.5,-0.0823,0.0467,75.5,0.0942,-0.0258,13094,0.611,0.0356,406,0.5615,-0.0098,6238,0.0321,0.0944,2800,-0.0331,-0.1253,412482,0.0096,-0.0091,42044.5,-0.0792,0.0332,0.0713,0.0036,-0.014
1/1/2019 0:00,19100,"Dallas-Fort Worth-Arlington, TX",4,,330045,-0.0078,-0.0364,21402,-0.0568,0.2533,66.5,0.0231,0.0726,9028,0.3646,0.1274,622,0.1604,-0.1985,6410,0.1888,0.5255,5402,-0.1836,-0.1228,457667,-0.0128,-0.0344,26804,-0.0854,0.1536,0.2524,-0.0392,-0.1082
1/1/2019 0:00,26420,"Houston-The Woodlands-Sugar Land, TX",5,,308050,0.0013,-0.0314,26903,-0.0379,0.1772,75.5,0.0634,0.0134,9282,0.2618,0.1437,1310,-0.0978,0.4752,6432,0.2572,0.3262,7517.5,-0.1313,-0.0416,429327,-0.0009,-0.0101,34420.5,-0.06,0.1213,0.2794,-0.03,-0.0638
1/1/2019 0:00,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6,,249995,-0.0002,0.0872,20623.5,-0.046,0.0041,83,0.0921,-0.0514,6650,0.3142,0.0681,474,0.3315,0.2674,4680,0.0754,0.0017,3,0,-0.4,361128,-0.0019,0.0602,20626.5,-0.046,0.004,0.0001,0,-0.0001
1/1/2019 0:00,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",7,,419000,-0.0024,0.0095,15312.5,-0.1406,-0.0363,72.5,0.1328,0.0211,5496,0.2301,-0.0666,464,0.2211,-0.2635,2582,-0.1312,0.0411,19.5,-0.025,0.2188,601702,0.0351,0.0004,15332,-0.1405,-0.036,0.0013,0.0002,0.0003
1/1/2019 0:00,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",8,,385050,0.0003,-0.0077,56074.5,0.0092,0.1183,93.5,0.0506,0.0506,14494,0.349,0.039,706,-0.0759,-0.1995,11892,0.2357,0.2002,7698.5,-0.0724,-0.2821,885440,0.0041,-0.0074,63773,-0.0014,0.0478,0.1373,-0.0121,-0.0766
1/1/2019 0:00,12060,"Atlanta-Sandy Springs-Roswell, GA",9,,309900,-0.0051,0.033,40431.5,-0.0419,0.2225,67,0.0984,-0.029,16174,0.346,0.2672,1712,0.3333,-0.0349,10058,0.213,0.6559,15580,-0.0509,0.8861,420662,-0.0086,-0.0018,56011.5,-0.0444,0.3552,0.3853,-0.0037,0.1356
1/1/2019 0:00,14460,"Boston-Cambridge-Newton, MA-NH",10,,502572,0.0052,0.0203,9493,-0.1348,0.2736,73.5,0.1308,-0.0134,3724,0.5887,0.278,122,0.1296,0,1796,0.0113,0.6691,10.5,0.05,-0.3226,741635,0.0195,-0.0393,9503.5,-0.1346,0.2724,0.0011,0.0002,-0.001
1/1/2019 0:00,41860,"San Francisco-Oakland-Hayward, CA",11,*,837525,-0.0205,-0.0105,4088.5,-0.1558,0.5752,49.75,-0.0245,0.4214,3404,1.3639,0.1578,98,0.0208,0.0652,668,-0.1893,1.3688,2167.5,-0.2349,-0.0879,1293131,-0.0217,-0.1395,6256,-0.185,0.2582,0.5301,-0.0548,-0.3855
1/1/2019 0:00,19820,"Detroit-Warren-Dearborn, MI",12,,219950,-0.0005,0.1,12574.5,-0.0784,0.2139,65.5,0.1102,-0.0368,4976,0.2317,0.1769,228,0.1633,-0.3006,2712,-0.0504,0.3479,972.5,-0.1325,28.9231,313216,-0.0032,0.0111,13547,-0.0825,0.3037,0.0773,-0.0048,0.0742
1/1/2019 0:00,38060,"Phoenix-Mesa-Scottsdale, AZ",13,*,335050,0.0155,0.0182,20638,0.0249,0.043,59,0.1132,-0.0248,8906,0.4706,0.022,686,0.1747,-0.1068,8708,0.2943,0.2483,4191,-0.0656,45.8268,557031,0.0271,0.0134,24829,0.0084,0.2491,0.2031,-0.0197,0.1985
1/1/2019 0:00,42660,"Seattle-Tacoma-Bellevue, WA",14,*,561542.5,0.0209,0.1232,5927.5,-0.1887,0.9102,66,0.082,0.3895,3268,0.7309,0.1411,114,0.6765,-0.1972,1670,-0.038,1.6935,2655,-0.0923,-0.1261,815564,0.0385,-0.0127,8582.5,-0.1611,0.3976,0.4479,0.0476,-0.5311
1/1/2019 0:00,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15,,352500,0.0369,0.0084,7884,-0.1387,0.1442,69.5,0.0692,-0.0142,3440,0.4701,0.1026,132,0.5,-0.3592,1536,0.0696,0.6168,3410.5,-0.0994,-0.0576,451720,0.0076,-0.0266,11294.5,-0.1272,0.0747,0.4326,0.0189,-0.0926
1/1/2019 0:00,40140,"Riverside-San Bernardino-Ontario, CA",16,,389500,0.0065,0.0303,18743,-0.0483,0.1773,67,0.0984,0.1356,6150,0.3618,-0.021,318,0.0461,-0.1762,4202,0.2089,0.3581,3430.5,-0.1145,2.2517,537621,0.0084,-0.0229,22173.5,-0.0592,0.3062,0.183,-0.0137,0.1168
1/1/2019 0:00,45300,"Tampa-St. Petersburg-Clearwater, FL",17,,259975,0.0001,-0.0001,16563,0.0036,0.2059,70.5,0.1371,0.0602,6460,0.3721,0.1077,616,0.4951,0.037,6180,0.2033,0.3435,6601,-0.0114,-0.0245,376722,0.0069,-0.0245,23164,-0.0007,0.1299,0.3985,-0.0061,-0.0941
1/1/2019 0:00,41740,"San Diego-Carlsbad, CA",18,,650050,0.0002,-0.0095,6689.5,-0.0759,0.4585,49.5,-0.0481,0.1124,3960,0.7491,0.1668,132,0.2692,0,1816,0.1854,0.66,110,0.0891,6.8571,1072818,-0.0048,-0.092,6799.5,-0.0736,0.478,0.0164,0.0025,0.0134
1/1/2019 0:00,41180,"St. Louis, MO-IL",19,,198072.75,-0.0094,0.0704,9717.5,-0.123,-0.0521,88,0.1282,0.0667,2536,0.2579,-0.0865,94,1.35,-0.06,1908,0,-0.0373,1970.5,-0.0683,-0.0135,271816,-0.0093,0.0391,11688,-0.1143,-0.0458,0.2028,0.0119,0.0079
1/1/2019 0:00,19740,"Denver-Aurora-Lakewood, CO",20,,451280,0.0028,-0.1698,10027,-0.1176,1.3574,65,0.1017,0.1504,4436,0.5957,0.1989,278,0.0692,-0.0544,2180,0.1237,1.3441,163.5,-0.1395,-0.1484,593311,0.0112,-0.2003,10190.5,-0.1179,1.2923,0.0163,-0.0004,-0.0288
1/1/2019 0:00,12580,"Baltimore-Columbia-Towson, MD",21,,296522.5,-0.0051,0.0402,9829.5,-0.0956,0.0371,79.5,0.1042,-0.0124,2842,0.1553,0.0107,238,0.266,-0.0165,2272,0.0309,0.1748,7,0,0,376017,0.0164,-0.0007,9836.5,-0.0955,0.0371,0.0007,0.0001,0
1/1/2019 0:00,38300,"Pittsburgh, PA",22,,169950,-0.0173,0,9550,-0.0465,-0.0428,102,0.1591,-0.0467,2094,0.3389,0.0861,54,0.5,-0.129,1392,0.1262,0.0043,997.5,-0.1141,0.2731,259161,0.0041,0.0399,10547.5,-0.0534,-0.0197,0.1045,-0.008,0.0259
1/1/2019 0:00,38900,"Portland-Vancouver-Hillsboro, OR-WA",23,,459950,0.0152,0.004,6472.5,-0.1119,0.3413,69.5,0.0221,0.1393,3140,0.9146,0.2237,338,0.7604,0.3307,1702,0.1408,0.5788,65,0.2037,-0.2216,581476,0.0076,-0.0174,6537.5,-0.1096,0.3317,0.01,0.0026,-0.0073
