Month,StateID,State,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Median List Price Per Sqft,Median List Price Per Sqft M/M,Median List Price Per Sqft Y/Y,Median Listing Sqft,Median Listing Sqft M/M,Median Listing Sqft Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y
1/1/2019,AK,Alaska,280000,0.0004,0.0382,2679,-0.1164,-0.0335,120,0.0526,0.0811,582,0.5,-0.1686,36,0.8,0.5,456,0.1515,-0.1264,1,,,167,0.005,0.0325,1707,-0.0076,0.0153,320400,-0.008,0.0181
1/1/2019,AL,Alabama,212700,0.0085,0.0908,24469,-0.0437,-0.0556,107,0.049,-0.0183,6122,0.4304,0.0932,506,0.2048,-0.0595,3818,0.1784,0.0501,72,0.0746,17,102,0.0034,0.0809,1953,-0.0023,-0.0237,280100,-0.0028,0.0765
1/1/2019,AR,Arkansas,178300,-0.0067,0.0494,16188,-0.0329,0.0152,102,0.0515,-0.0467,3766,0.3279,0.1262,134,0.5952,-0.2209,2210,0.3313,0.1882,1046,-0.0719,-0.1412,97,0.0009,0.0368,1900,-0.0073,0.0005,241300,-0.0037,0.0268
1/1/2019,AZ,Arizona,324500,0.0172,0.0502,30871,0.0027,0.0099,66,0.1,-0.0149,12326,0.4646,0.0095,924,0.3051,-0.1569,10954,0.3109,0.2147,7002,-0.0501,1.8109,166,0.0082,0.0633,2017,0.0045,-0.0098,508700,0.0285,0.0348
1/1/2019,CA,California,517000,-0.0152,0.0382,83937,-0.0847,0.2798,66,0.1,0.1579,35956,0.5194,0.0871,1332,0.2198,-0.0472,16786,0.1564,0.5569,18565,-0.1541,0.3428,293,-0.0143,0.0628,1781,-0.0014,-0.0297,938300,-0.0026,-0.0238
1/1/2019,CO,Colorado,435000,0.0023,-0.0107,26298,-0.0923,0.4514,81,0.08,-0.1383,9118,0.4899,0.1571,654,0.2874,-0.1066,4680,0.1607,0.8454,2164,-0.1228,0.0005,187,0.0112,0.0579,2304,-0.0097,-0.0623,803200,0.0393,-0.0984
1/1/2019,CT,Connecticut,339700,-0.0006,0.0006,18766,-0.0977,0.0641,109,0.09,0.0583,4040,0.4306,0.0648,118,1.2692,0.0536,2820,0.2051,0.1217,22,-0.2414,0.1579,177,0.0042,0.0029,1898,-0.0115,0.0147,729100,0.0004,0.0115
1/1/2019,DC,District of Columbia,596700,-0.0038,0.0825,1568,-0.1356,0.1168,65,0.1818,0.1404,668,0.2014,0,14,-0.3,-0.3636,320,-0.0244,0.3333,3,0.5,,476,-0.0292,-0.1157,1450,0.0424,0.2993,899100,0.0519,0.0093
1/1/2019,DE,Delaware,297200,0.0075,0.0618,4791,-0.0746,-0.0919,112,0.098,-0.0667,1184,0.3516,0.026,128,0.7778,0.0667,706,0.0028,-0.0972,0,,,147,0.0102,0.0451,1957,-0.0038,0.0303,379300,0.0115,0.042
1/1/2019,FL,Florida,319300,0.0044,0.0041,167540,0.0121,0.1317,85,0.0625,0.0366,50246,0.3737,0.0734,3924,0.2386,-0.0382,44746,0.3471,0.3114,32502,-0.0405,-0.1194,178,0.0105,0.0273,1746,-0.002,-0.0183,617800,0.011,-0.0015
1/1/2019,GA,Georgia,276200,-0.01,0.0411,67456,-0.0465,0.1496,80,0.0811,-0.0123,23202,0.3794,0.2313,2344,0.3886,-0.0076,14202,0.2015,0.5128,19136,-0.0398,0.9689,114,0.0025,0.0682,2320,-0.0088,-0.0165,382400,-0.0031,0.0233
1/1/2019,HI,Hawaii,678800,0.0056,0.0335,7508,0.0303,0.1097,84,-0.0562,-0.0769,2102,0.173,0.1098,68,0.4167,-0.2766,1246,0.1327,0.3632,367,-0.0938,,494,0.0141,-0.0019,1355,-0.0091,-0.0163,1244700,0.0115,-0.0602
1/1/2019,IA,Iowa,195000,0.0263,0.0317,12864,-0.0565,0.05,93,0.0449,-0.0211,3362,0.4592,0.1289,112,0.75,0.1667,1636,-0.0376,0.0501,2549,-0.0673,0.2544,117,0.0104,0.0568,1620,-0.0038,-0.0041,238400,0.0171,0.0303
1/1/2019,ID,Idaho,332400,0.0076,0.1102,7053,-0.124,-0.0827,84,0.05,-0.1515,2250,0.3522,0.0817,154,-0.2143,-0.6638,1316,0.1345,0.3401,147,0.1136,0.1667,160,0.0046,0.1293,2145,0.006,-0.0139,541300,0.0312,0.0859
1/1/2019,IL,Illinois,225000,0,0.0412,55076,-0.0746,0.0209,84,0.1053,-0.0345,16538,0.575,0.0571,406,0.4926,-0.0856,8250,0.0318,0.0073,5346,-0.0237,0.072,120,-0.005,0.0597,1757,-0.005,-0.0158,335700,0.0027,0.0048
1/1/2019,IN,Indiana,177500,-0.0111,0.1094,19543,-0.0789,-0.0487,83,0.1216,-0.046,5530,0.2064,0.095,210,0.3462,-0.0541,4032,0.0381,0.1163,1965,-0.0339,-0.1927,91,0.0021,0.0737,1908,-0.0099,0.0074,240200,-0.0037,0.0521
1/1/2019,KS,Kansas,169900,-0.0122,0.0468,10331,-0.0577,0.0213,92,0.1084,0.0222,2738,0.2989,0.0156,190,0.9792,0.25,1742,0.1521,0.143,227,0.0509,0.1885,87,0.0015,0.0808,1950,0,0.0435,257100,0.0039,0.0968
1/1/2019,KY,Kentucky,189300,-0.0032,0.0731,15280,-0.0681,0.0438,92,0.0698,-0.0417,4304,0.362,0.189,144,-0.2174,-0.25,2686,0.2389,0.143,3627,-0.0733,-0.1264,102,0.002,0.0665,1881,-0.0083,0.0029,258300,-0.0141,0.0487
1/1/2019,LA,Louisiana,220000,0,0.0343,19263,-0.0396,0.0758,102,0.0625,0.0625,4852,0.4187,0.1742,218,0.5571,0.3974,3968,0.3683,0.1475,2572,-0.0081,0.013,116,0.0002,0.0429,1899,-0.0003,-0.0013,289700,-0.001,0.0158
1/1/2019,MA,Massachusetts,449900,-0.0002,0.0283,16930,-0.1272,0.2081,82,0.1233,-0.0575,5642,0.4989,0.2493,176,0.5172,0.0233,3130,0.0632,0.4585,255,-0.1694,-0.4492,246,0.0022,0.0581,1800,-0.0022,-0.0161,691100,0.0095,-0.031
1/1/2019,MD,Maryland,310000,-0.0127,0.0337,21322,-0.0961,0.0287,83,0.1216,-0.0349,5902,0.1153,0.0179,504,0.1667,-0.0836,4240,0.0271,0.1337,13,0.0833,-0.9651,165,-0.0059,-0.0878,1848,-0.0024,0.0072,402800,0.0126,0.0083
1/1/2019,ME,Maine,239000,-0.0038,0.0622,8304,-0.122,-0.0073,149,0.1288,-0.051,1022,0.1995,-0.119,24,0,-0.4783,824,0.0729,0.1573,84,0,-0.8807,141,-0.0056,0.0605,1693,-0.0038,-0.005,348800,-0.0099,0.032
1/1/2019,MI,Michigan,189900,-0.0068,0.1177,35599,-0.0883,0.0653,88,0.1,-0.0833,10076,0.2082,0.1241,390,0.0372,-0.2642,5984,0.036,0.2405,2571,-0.1004,3.365,116,0.0003,0.098,1620,-0.0074,0.0125,285700,-0.0024,0.0496
1/1/2019,MN,Minnesota,270700,0.0215,0.0616,15713,-0.1883,0.0283,93,0.1772,-0.0211,5012,0.4864,0.0769,152,0.2258,-0.4063,2324,0.0357,0.2362,4936,-0.1714,-0.0443,140,0.0275,0.0777,2004,-0.006,-0.0169,358200,0.0311,0.0156
1/1/2019,MO,Missouri,186700,-0.0116,0.0675,24851,-0.0915,-0.0271,94,0.093,0.0108,6238,0.1996,-0.0019,242,0.8906,-0.3006,3748,0.0411,0.0895,2095,-0.0689,-0.3488,106,0.0006,0.0803,1734,-0.0043,0.0032,256400,-0.0047,0.0586
1/1/2019,MS,Mississippi,189000,0,0.05,10925,-0.0406,-0.0582,117,0.0541,0.0446,2404,0.4378,0.0839,124,0.8235,-0.0159,1766,0.4196,0.0575,1513,-0.0632,0.6608,94,0.0063,0.0289,1986,-0.0068,0.0005,246600,-0.004,0.0322
1/1/2019,MT,Montana,329000,-0.0009,0.0284,7448,-0.092,0.0168,136,0.0968,0.0226,1272,0.3305,0.0016,50,0.3889,0.3158,634,0.248,0.248,399,-0.0386,-0.1326,157,-0.0045,0.0304,2132,-0.0079,-0.0318,556400,-0.0137,-0.0438
1/1/2019,NC,North Carolina,279000,0.0036,0.0337,47396,-0.0739,-0.0759,109,0.0187,0.0187,12260,0.5379,0.0618,1024,0.3838,-0.2207,8044,0.3859,0.227,8252,-0.0303,0.0113,130,0.0051,0.0189,2128,0.0014,0.0007,369200,-0.0014,-0.0014
