Month,StateID,State,Property Type,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Median List Price Per Sqft,Median List Price Per Sqft M/M,Median List Price Per Sqft Y/Y,Median Listing Sqft,Median Listing Sqft M/M,Median Listing Sqft Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y
201901,AK,Alaska,Single Family Home,296500,0.0051,0.0533,2283,-0.1075,-0.0206,122,0.0167,0.0517,486,0.5188,-0.1321,22,0.8333,0.1,392,0.1136,-0.0667,1,,,166,0.002,0.0274,1836,-0.0022,0.0132,338200,-0.0097,0.0086
201901,AL,Alabama,Single Family Home,209700,0.0014,0.0809,22902,-0.0465,-0.0597,108,0.0588,-0.0092,5688,0.4248,0.081,480,0.1538,-0.0514,3696,0.2094,0.059,71,0.0758,16.75,101,0.004,0.0818,2001,-0.002,-0.0241,275800,-0.0033,0.079
201901,AR,Arkansas,Single Family Home,178500,-0.0072,0.0506,15500,-0.0337,0.0185,101,0.0412,-0.0561,3606,0.3161,0.1276,132,0.5714,-0.1951,2140,0.3375,0.1996,1019,-0.0803,-0.1394,97,0,0.0381,1926,-0.0113,-0.0052,241900,-0.0041,0.0198
201901,AZ,Arizona,Single Family Home,335000,0.0155,0.0456,27177,-0.0027,0.0197,68,0.0968,-0.0286,10484,0.4505,0.0089,854,0.3098,-0.0876,9704,0.298,0.2182,6094,-0.0491,1.755,164,0.0083,0.06,2131,0.0071,-0.0088,535000,0.0312,0.0308
201901,CA,California,Single Family Home,522500,-0.0123,0.0452,70669,-0.0875,0.254,67,0.0806,0.0984,28856,0.4753,0.0641,1076,0.2117,-0.1048,13802,0.1498,0.4661,16029,-0.155,0.3251,269,-0.0121,0.0462,1911,0.0018,-0.029,986800,0.0008,-0.0247
201901,CO,Colorado,Single Family Home,455000,0.0111,-0.0061,19772,-0.1075,0.3935,81,0.0946,-0.129,6870,0.4819,0.1473,528,0.4194,-0.1229,3718,0.1308,0.7671,1753,-0.095,0.0139,173,0.0069,0.0432,2751,0.0059,-0.0377,853900,0.0447,-0.0866
201901,CT,Connecticut,Single Family Home,369500,-0.0011,0.0068,15446,-0.1024,0.0744,111,0.0882,0.0472,3196,0.3993,0.0761,86,1.15,0,2316,0.1511,0.1124,21,-0.1923,0.1053,180,0.0025,0.0038,2096,-0.0019,0.0072,807900,0.0047,0.0032
201901,DC,District of Columbia,Single Family Home,586900,-0.0217,-0.2115,510,-0.1297,1.1983,69,0.2321,-0.1375,174,-0.0333,1.175,6,-0.25,0,96,-0.0769,1.6667,3,0.5,,367,-0.0114,-0.199,1750,0,-0.3485,1122400,0.0345,-0.2918
201901,DE,Delaware,Single Family Home,309500,0.0065,0.0421,3728,-0.0779,-0.0342,117,0.0734,-0.0488,810,0.3065,-0.0098,108,0.8,0.08,570,-0.0104,0.0674,0,,,149,0.0066,0.0451,2057,0.0017,0.0201,412300,0.0138,0.0372
201901,FL,Florida,Single Family Home,335000,0.0152,-0.0045,105859,0.0056,0.1456,81,0.0658,0.0253,33700,0.3753,0.0893,3030,0.25,0.0073,31806,0.3368,0.3308,23387,-0.0378,-0.0946,166,0.0116,0.0363,2025,-0.0032,-0.0299,665100,0.0181,-0.0131
201901,GA,Georgia,Single Family Home,279000,-0.0032,0.0391,60374,-0.0565,0.1389,81,0.0658,-0.0241,20000,0.3369,0.2225,1912,0.248,-0.06,12784,0.1868,0.4755,16321,-0.0498,1.0386,112,0.0022,0.067,2420,-0.0088,-0.011,387000,-0.0033,0.0282
201901,HI,Hawaii,Single Family Home,816700,0.0222,0.0247,3876,0.0104,0.0928,91,-0.0215,-0.0808,968,0.1,0.1204,42,0.75,-0.125,722,0.2114,0.3623,125,-0.0157,,443,0.0121,0.0233,1929,0.0044,-0.0232,1547700,0.0262,-0.0825
201901,IA,Iowa,Single Family Home,187300,0.0081,0.0446,11372,-0.0635,0.0388,91,0.046,-0.0319,2860,0.3965,0.1216,102,0.8214,0.4167,1514,-0.0466,0.047,2321,-0.0694,0.2902,112,0.0084,0.0661,1658,-0.0024,0.0009,238900,0.0192,0.0405
201901,ID,Idaho,Single Family Home,332500,0.0076,0.1106,6466,-0.1315,-0.0852,83,0.0506,-0.1354,2092,0.3763,0.0896,132,-0.2826,-0.7027,1264,0.1408,0.3305,103,0.1319,0.0729,157,0.0043,0.1355,2236,0.0093,-0.0079,545000,0.0312,0.0885
201901,IL,Illinois,Single Family Home,222300,-0.0116,0.0412,42691,-0.0755,0.004,89,0.1125,-0.0111,11496,0.4581,0.0143,310,0.4091,-0.0373,6760,0.0464,-0.0163,4023,-0.0359,0.1144,110,-0.0049,0.0461,1876,-0.0079,-0.0119,327900,-0.0015,0.0105
201901,IN,Indiana,Single Family Home,174900,-0.0006,0.0938,18397,-0.0806,-0.0461,83,0.1216,-0.046,5148,0.2006,0.0893,168,0.2353,-0.1683,3832,0.0246,0.1159,1801,-0.0481,-0.2049,89,-0.0011,0.0709,1945,-0.0112,0.0052,239900,-0.0054,0.049
201901,KS,Kansas,Single Family Home,170000,-0.0275,0.0398,9882,-0.0601,0.0216,92,0.1084,0.011,2596,0.3058,0.0062,186,0.9375,0.274,1690,0.1607,0.1434,226,0.0512,0.1832,86,0.0002,0.0789,1978,-0.0008,0.0446,259900,0.0046,0.0962
201901,KY,Kentucky,Single Family Home,189500,-0.0021,0.081,14510,-0.0675,0.0472,93,0.0814,-0.0313,4028,0.3535,0.1974,134,-0.2386,-0.2637,2564,0.2593,0.1325,3380,-0.0707,-0.1271,100,0.0034,0.0688,1901,-0.012,-0.0011,259300,-0.0141,0.0562
201901,LA,Louisiana,Single Family Home,224900,0,0.0465,17678,-0.0379,0.0737,102,0.0625,0.0625,4478,0.4082,0.1759,214,0.6212,0.4658,3672,0.3722,0.1264,2327,-0.0223,0.0022,115,0.0003,0.0476,1956,0.0005,0.0003,290800,0.0021,0.0257
201901,MA,Massachusetts,Single Family Home,459000,0.02,0.0234,12784,-0.138,0.1706,86,0.1622,-0.0337,4000,0.4451,0.292,132,0.5714,0.0476,2512,0.1095,0.4354,232,-0.1439,-0.3958,236,-0.0005,0.0461,1983,0.0079,-0.0083,707100,0.0132,-0.0417
201901,MD,Maryland,Single Family Home,350000,-0.0275,0,14393,-0.0966,0.0813,88,0.1139,-0.0435,3590,0.1163,0.0577,344,0.3438,0.0361,2918,0.0466,0.224,9,0.125,-0.9647,165,-0.0061,-0.0824,2102,-0.0054,-0.0559,468200,0.0119,-0.0034
201901,ME,Maine,Single Family Home,235000,-0.0167,0.0444,7661,-0.1231,-0.0138,151,0.1185,-0.0443,918,0.2273,-0.1035,14,-0.4167,-0.6111,778,0.0866,0.1969,80,0,-0.8748,135,-0.01,0.0609,1729,-0.004,-0.0087,351600,-0.0093,0.0293
201901,MI,Michigan,Single Family Home,183900,-0.0059,0.1145,31835,-0.0913,0.0485,88,0.0864,-0.0928,8938,0.1917,0.132,318,0.1522,-0.2167,5464,0.042,0.2142,2299,-0.1124,3.2653,111,-0.0023,0.0881,1658,-0.0069,0.0156,284200,-0.0046,0.046
201901,MN,Minnesota,Single Family Home,276900,0.0259,0.0654,13626,-0.1918,0.0184,95,0.1728,-0.0306,4134,0.4785,0.0754,104,0.0833,-0.3953,1958,0.001,0.1613,3997,-0.1806,-0.0138,136,0.0283,0.0809,2097,-0.0069,-0.015,367100,0.0329,0.0166
201901,MO,Missouri,Single Family Home,188000,-0.0053,0.0749,22775,-0.0939,-0.0275,95,0.1047,0.0215,5670,0.1803,0.0107,216,0.7419,-0.325,3486,0.0487,0.0833,1822,-0.0737,-0.3782,103,-0.0031,0.0808,1784,-0.0042,-0.0008,259300,-0.0054,0.0614
201901,MS,Mississippi,Single Family Home,187400,-0.0085,0.0417,10354,-0.041,-0.0598,116,0.0545,0.0545,2324,0.4635,0.112,122,0.7941,0.0167,1712,0.4219,0.0568,1435,-0.0639,0.6381,93,0.0034,0.0256,2025,-0.0071,0.0055,247000,-0.0048,0.0361
201901,MT,Montana,Single Family Home,335000,-0.0118,0.0308,6654,-0.096,0.0151,138,0.0866,0.0073,1124,0.2773,0.0144,36,0.8,0.2,564,0.2936,0.2051,313,0.0032,-0.0928,151,-0.0053,0.0277,2251,0,-0.032,575400,-0.0146,-0.0432
201901,NC,North Carolina,Single Family Home,284400,0,0.0342,42602,-0.075,-0.0823,110,0.028,0.0185,10748,0.5568,0.0697,846,0.2741,-0.2527,7342,0.3801,0.2068,7094,-0.0313,0.0085,128,0.0037,0.0206,2233,-0.0025,0.0012,377600,-0.0037,-0.0066
201901,ND,North Dakota,Single Family Home,239500,-0.0017,0.0191,2869,-0.0929,0.0425,104,0.0097,0.0297,706,0.9611,0.0232,20,0.6667,0,338,-0.0611,-0.0174,13,0.625,0.8571,108,0.0001,0.0133,2201,0,-0.0159,281600,-0.0025,0.0376
201901,NE,Nebraska,Single Family Home,227600,0.0116,0.0336,4682,-0.078,0.1436,73,0.0896,-0.0267,1640,0.3851,0.185,68,0.2143,0.1724,798,0.2315,0.4723,711,-0.0507,-0.6684,120,0.0282,0.0782,1871,-0.0019,-0.0037,278300,0.0014,0.0029
201901,NH,New Hampshire,Single Family Home,321000,-0.0022,0.0736,5018,-0.1347,-0.0356,107,0.1031,-0.0531,1032,0.3508,0.1193,52,0.0833,-0.4348,542,-0.1026,0.3155,2,0,-0.6,157,0.0046,0.0662,2057,-0.007,0.0083,426500,0.0024,0.0367
201901,NJ,New Jersey,Single Family Home,349900,-0.0003,0.0853,33948,-0.0692,0.0606,84,0.05,-0.0455,10534,0.4574,0.1138,280,0.2727,0.0606,6486,0.1061,0.1241,25,0,-0.875,155,0.0124,0.0639,2000,0,0.0384,537300,0.0058,0.0339
201901,NM,New Mexico,Single Family Home,242500,0,0.0553,7340,-0.1009,-0.1268,110,0.0784,-0.0351,1788,0.1462,-0.0387,68,0.0625,-0.2444,1202,0.2469,-0.0624,1726,-0.0892,1.1023,121,-0.0003,0.0353,2012,-0.0019,0.0217,373300,-0.0029,0.0566
201901,NV,Nevada,Single Family Home,354000,-0.0161,0.0727,10478,-0.0172,0.0863,68,0.0625,0.0149,3962,0.4985,0.2101,218,0.4342,-0.2635,3432,0.4372,1.5051,924,-0.1149,3.0705,181,-0.0036,0.1104,2021,-0.0132,-0.0244,646900,-0.0197,0.0694
