Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,1001,"Agawam, MA",,201225,-0.034,-0.0574,55.5,-0.1328,0.1809,75.25,-0.0594,0.0789,16,0,0,0,,,14,2.5,0.1667,1,0,0,237728,-0.04,-0.0256,56.5,-0.1308,0.1771,0.018,0.0024,-0.0033
1/1/2019 0:00,1002,"Amherst, MA",,454050,0.0682,0.2975,50,-0.1803,-0.2857,112.75,-0.1191,-0.011,6,-0.25,-0.7273,0,,,8,1,0.3333,0,,,499614,0.0395,0.0963,50,-0.1803,-0.2857,0,0,0
1/1/2019 0:00,1005,"Barre, MA",,243225,0.0132,-0.0243,25.5,-0.1774,0.3421,106,0.325,0.2184,4,0,-0.3333,0,,,2,-0.5,-0.5,0,,,332485,0.0236,0.4285,25.5,-0.1774,0.3421,0,0,0
1/1/2019 0:00,1007,"Belchertown, MA",,333775,-0.0324,-0.099,45,-0.0426,-0.2174,81.75,-0.0382,-0.334,18,1.25,0.125,0,,,8,1,0,0,,,332184,-0.0262,-0.0712,45,-0.0426,-0.2174,0,0,0
1/1/2019 0:00,1008,"Blandford, MA",,223725,-0.0676,0.1834,9,-0.25,0,122.25,0.1216,0.2603,2,-0.5,,0,,,0,,-1,2,0,0,230469,-0.0227,0.3313,11,-0.2143,0,0.2222,0.0556,0
1/1/2019 0:00,1010,"Brimfield, MA",,352025,0.1931,0.3997,11.5,-0.2333,-0.3611,67.25,-0.0393,-0.2865,6,0.5,0.5,0,,,2,,0,0,,,755068,0.1924,1.0632,11.5,-0.2333,-0.3611,0,0,0
1/1/2019 0:00,1013,"Chicopee, MA",,172250,0.0436,-0.0154,25.5,-0.1774,-0.1207,60.25,0.1157,0.2552,12,0.5,-0.1429,0,,,10,0.25,0.25,0,,,170667,-0.0161,-0.0355,25.5,-0.1774,-0.1207,0,0,0
1/1/2019 0:00,1020,"Chicopee, MA",,169078.25,-0.0709,-0.1029,46,0.0222,-0.1481,48.75,-0.25,-0.1772,18,0.125,0.2857,0,,,12,,-0.25,0,,,201550,-0.0362,-0.0287,46,0.0222,-0.1481,0,0,0
1/1/2019 0:00,1022,"Chicopee, MA",,129950,-0.1445,0.0834,6,0.5,0.0909,35.5,-0.1744,-0.5954,6,0.5,,0,,,4,,,0,,,133929,-0.1047,0.0711,6,0.5,0.0909,0,0,0
1/1/2019 0:00,1027,"Easthampton, MA",,299950,0,0.1119,20.5,-0.18,0.5185,75.25,0.1758,0.1445,4,0,-0.3333,0,,,4,0,,0,,,310277,-0.2362,0.0393,20.5,-0.18,0.5185,0,0,0
1/1/2019 0:00,1028,"East Longmeadow, MA",*,269500,-0.0281,,49.5,-0.01,-0.01,64.25,0.0363,-0.4327,14,0.1667,,0,,,14,2.5,0.1667,0,,,337567,-0.0606,-0.1515,49.5,-0.01,-0.01,0,0,0
1/1/2019 0:00,1030,"Feeding Hills, MA",,289950,0.1306,0.2019,20,0,0,67,-0.141,-0.0563,12,2,2,0,,,10,0.25,0.25,0,,,329218,0.05,0.1762,20,0,0,0,0,0
1/1/2019 0:00,1033,"Granby, MA",,308700,-0.05,-0.2054,20.5,-0.2407,-0.1087,122,0.291,-0.2673,0,-1,-1,0,,,4,0,1,0,,,328317,-0.0254,-0.0594,20.5,-0.2407,-0.1087,0,0,0
